City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,79.93,clear sky,-9.8,-139.0333,Villa Enata
6,Kulhudhuffushi,MV,83.08,broken clouds,6.6221,73.07,Haajy Guest House 1
11,Faanui,PF,83.25,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
12,Rikitea,PF,78.37,overcast clouds,-23.1203,-134.9692,Pension Maro'i
13,East London,ZA,82.4,clear sky,-33.0153,27.9116,Tu Casa
20,Port Elizabeth,ZA,75.2,few clouds,-33.918,25.5701,39 On Nile Guest House
25,Butaritari,KI,81.66,clear sky,3.0707,172.7902,Isles Sunset Lodge
26,Souillac,MU,86.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
27,Avarua,CK,75.2,overcast clouds,-21.2078,-159.775,Paradise Inn
29,Bubaque,GW,78.84,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
33,Puerto Ayora,EC,75.0,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Isangel,VU,78.8,light rain,-19.55,169.2667,Volcano Sea View Tree House
46,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
47,Arraial Do Cabo,BR,76.41,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
49,Port-Gentil,GA,80.6,few clouds,-0.7193,8.7815,Fengshui Residence
52,Carnarvon,AU,80.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
53,Moron,AR,77.0,light rain,-34.6534,-58.6198,Hotel Morón
55,Mahebourg,MU,86.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
63,Biloela,AU,87.75,overcast clouds,-24.4167,150.5,Silo Motor Inn
69,Celestun,MX,76.19,scattered clouds,20.8667,-90.4,Posada Lilia
70,Monrovia,LR,78.8,light rain,6.3005,-10.7969,Sunset Inn
77,Mecca,SA,77.2,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
85,Sur,OM,86.07,clear sky,22.5667,59.5289,Sur Plaza Hotel
88,Hithadhoo,MV,83.03,few clouds,-0.6,73.0833,Scoop Guest House
89,Beloha,MG,75.45,overcast clouds,-25.1667,45.05,
100,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
107,Kavaratti,IN,83.05,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
108,Esperance,AU,86.0,scattered clouds,-33.8667,121.9,Hospitality Esperance
110,Gold Coast,AU,77.0,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
115,Port Augusta,AU,78.8,clear sky,-32.5,137.7667,Majestic Oasis Apartments
116,Camocim,BR,75.33,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
117,Buala,SB,80.67,light rain,-8.145,159.5921,Maringe Lagoon Lodge
123,Beira,MZ,78.8,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
125,Bambous Virieux,MU,86.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
131,Sibut,CF,84.06,overcast clouds,5.718,19.0739,
134,Saint-Philippe,RE,87.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
139,Biak,ID,83.66,overcast clouds,-0.9131,122.8766,Penginapan Kim
146,Chicama,PE,76.28,overcast clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
150,Nioro,GM,79.29,overcast clouds,13.35,-15.75,
151,Anloga,GH,82.4,few clouds,5.7947,0.8973,Pin Drop Hotel
153,Odweyne,SO,80.37,clear sky,9.4092,45.06399999999999,Eng Hiirey House
156,Mackay,AU,84.2,scattered clouds,-21.15,149.2,International Lodge Motel
161,Georgetown,MY,88.0,scattered clouds,5.4112,100.3354,Cititel Penang
163,Dhidhdhoo,MV,83.14,broken clouds,6.8833,73.1,Dhidhoo beach
167,Wajir,KE,84.7,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
170,Dimbokro,CI,75.61,overcast clouds,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
172,Hobyo,SO,83.64,light rain,5.3505,48.5268,Halane Hotel and Restaurent
