City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Luderitz,NA,-26.6481,15.1594,73.9,54,0,9.4,clear sky
1,Albany,US,42.6001,-73.9662,21.99,48,100,3.24,overcast clouds
2,Bredasdorp,ZA,-34.5322,20.0403,71.6,68,40,5.75,scattered clouds
3,Kapaa,US,22.0752,-159.319,71.6,73,75,24.16,light rain
4,Atuona,PF,-9.8,-139.0333,79.93,75,7,13.38,clear sky
5,Hobart,AU,-42.8794,147.3294,60.8,48,75,17.27,broken clouds
6,Kulhudhuffushi,MV,6.6221,73.07,83.08,68,78,9.35,broken clouds
7,Satipo,PE,-11.2522,-74.6386,66.65,73,95,1.9,overcast clouds
8,Vila Velha,BR,-20.3297,-40.2925,73.4,88,0,3.44,clear sky
9,Ilulissat,GL,69.2167,-51.1,28.4,43,40,11.5,scattered clouds
10,Port Alfred,ZA,-33.5906,26.891,72.0,91,7,5.01,clear sky
11,Faanui,PF,-16.4833,-151.75,83.25,70,96,1.25,light rain
12,Rikitea,PF,-23.1203,-134.9692,78.37,78,100,8.52,overcast clouds
13,East London,ZA,-33.0153,27.9116,82.4,57,0,3.44,clear sky
14,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,69,40,3.44,scattered clouds
15,Mataura,NZ,-46.1927,168.8643,59.0,81,80,11.99,broken clouds
16,Saint George,US,37.1041,-113.5841,46.4,15,1,4.61,clear sky
17,Ust-Kuyga,RU,70.0167,135.6,-35.1,80,100,5.79,overcast clouds
18,Punta Arenas,CL,-53.15,-70.9167,42.8,81,20,9.22,few clouds
19,Chokurdakh,RU,70.6333,147.9167,-29.47,85,100,8.25,overcast clouds
20,Port Elizabeth,ZA,-33.918,25.5701,75.2,73,20,17.27,few clouds
21,Saldanha,ZA,-33.0117,17.9442,64.4,88,0,3.44,clear sky
22,Cape Town,ZA,-33.9258,18.4232,71.01,94,40,5.75,scattered clouds
23,Lebu,CL,-37.6167,-73.65,56.34,87,64,11.99,broken clouds
24,New Norfolk,AU,-42.7826,147.0587,59.0,61,100,5.99,overcast clouds
25,Butaritari,KI,3.0707,172.7902,81.66,83,1,14.18,clear sky
26,Souillac,MU,-20.5167,57.5167,86.0,62,40,12.66,light rain
27,Avarua,CK,-21.2078,-159.775,75.2,100,100,2.3,overcast clouds
28,Ushuaia,AR,-54.8,-68.3,46.4,66,0,8.05,clear sky
29,Bubaque,GW,11.2833,-15.8333,78.84,67,0,6.11,clear sky
30,Busselton,AU,-33.65,115.3333,69.01,96,100,10.69,light rain
31,Nauta,PE,-4.5061,-73.5757,71.15,98,100,1.59,overcast clouds
32,Canico,PT,32.6333,-16.85,59.0,67,40,5.75,scattered clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,75.0,97,96,6.44,light rain
34,Dikson,RU,73.5069,80.5464,-22.23,80,0,9.71,clear sky
35,Bayan,CN,46.0833,127.4,31.23,91,100,9.73,overcast clouds
36,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.6,79,90,14.97,light snow
37,Klaksvik,FO,62.2266,-6.589,42.8,100,75,2.3,broken clouds
38,La Seyne-Sur-Mer,FR,43.0982,5.8847,42.8,81,0,2.3,clear sky
39,Nikolskoye,RU,59.7035,30.7861,32.0,86,40,13.42,scattered clouds
40,Jamestown,US,42.097,-79.2353,30.99,86,1,11.45,clear sky
41,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,67,40,25.32,scattered clouds
42,Rawson,AR,-43.3002,-65.1023,59.36,80,100,13.82,overcast clouds
43,Muros,ES,42.7762,-9.0603,41.0,95,81,6.58,broken clouds
44,Yellowknife,CA,62.456,-114.3525,-2.99,84,90,6.91,light snow
45,Isangel,VU,-19.55,169.2667,78.8,94,90,7.76,light rain
46,Touros,BR,-5.1989,-35.4608,75.2,94,40,3.44,scattered clouds
47,Arraial Do Cabo,BR,-22.9661,-42.0278,76.41,83,67,23.55,broken clouds
48,Pevek,RU,69.7008,170.3133,-26.81,97,48,2.73,scattered clouds
49,Port-Gentil,GA,-0.7193,8.7815,80.6,94,20,4.61,few clouds
50,Mar Del Plata,AR,-38.0023,-57.5575,71.01,100,2,3.44,mist
51,Ahipara,NZ,-35.1667,173.1667,66.7,92,21,6.85,few clouds
52,Carnarvon,AU,-24.8667,113.6333,80.6,65,0,14.97,clear sky
53,Moron,AR,-34.6534,-58.6198,77.0,87,100,3.0,light rain
54,Husum,DE,54.4858,9.0524,35.01,100,0,2.3,fog
55,Mahebourg,MU,-20.4081,57.7,86.0,62,40,12.66,scattered clouds
56,Bluff,NZ,-46.6,168.3333,59.0,81,82,11.99,light rain
57,Vaini,TO,-21.2,-175.2,77.0,88,75,12.66,broken clouds
58,Rexburg,US,43.826,-111.7897,15.8,73,1,6.91,clear sky
59,Thompson,CA,55.7435,-97.8558,-2.2,78,1,2.3,clear sky
60,Vila Do Maio,CV,15.1333,-23.2167,71.6,43,20,10.36,few clouds
61,Sioux Lookout,CA,50.1001,-91.917,17.6,79,90,3.44,light snow
62,Senneterre,CA,48.3835,-77.2328,14.0,92,90,3.44,light snow
63,Biloela,AU,-24.4167,150.5,87.75,43,89,14.14,overcast clouds
64,Colquechaca,BO,-18.6667,-66.0167,31.73,95,37,3.58,light rain
65,Guerrero Negro,MX,27.9769,-114.0611,58.91,46,0,1.7,clear sky
66,Sao Filipe,CV,14.8961,-24.4956,69.58,75,90,9.91,overcast clouds
67,Cabo San Lucas,MX,22.8909,-109.9124,63.0,82,87,1.5,overcast clouds
68,Hilo,US,19.7297,-155.09,71.6,68,90,5.75,light rain
69,Celestun,MX,20.8667,-90.4,76.19,85,44,8.84,scattered clouds
70,Monrovia,LR,6.3005,-10.7969,78.8,94,75,3.69,light rain
71,Saskylakh,RU,71.9167,114.0833,-37.66,95,68,2.17,broken clouds
72,Prince Rupert,CA,54.3161,-130.3201,39.2,93,90,12.66,light rain
73,Kamaishi,JP,39.2667,141.8833,39.2,45,20,9.22,few clouds
74,Beringovskiy,RU,63.05,179.3167,-19.08,80,0,1.88,clear sky
75,Berlevag,NO,70.8578,29.0864,28.4,69,20,11.5,light snow
76,Ribeira Grande,PT,38.5167,-28.7,57.2,58,40,20.71,scattered clouds
77,Mecca,SA,21.4267,39.8261,77.2,40,0,4.36,clear sky
78,Atbasar,KZ,51.8,68.3333,13.93,95,100,19.01,overcast clouds
79,Stornoway,GB,58.2093,-6.3865,37.99,87,75,6.91,broken clouds
80,Awjilah,LY,29.1081,21.2869,56.75,58,0,13.98,clear sky
81,Kruisfontein,ZA,-34.0033,24.7314,72.0,79,97,1.99,overcast clouds
82,Bethel,US,41.3712,-73.414,26.6,43,1,4.61,clear sky
83,Suzdal,RU,56.4281,40.4414,20.89,96,95,12.33,overcast clouds
84,Vostok,RU,46.4856,135.8833,19.2,92,76,6.82,broken clouds
85,Sur,OM,22.5667,59.5289,86.07,34,0,6.33,clear sky
86,Anadyr,RU,64.75,177.4833,-22.0,69,0,6.71,clear sky
87,Shenjiamen,CN,29.9576,122.298,51.3,75,100,7.05,overcast clouds
88,Hithadhoo,MV,-0.6,73.0833,83.03,68,11,11.61,few clouds
89,Beloha,MG,-25.1667,45.05,75.45,79,100,5.17,overcast clouds
90,Tasiilaq,GL,65.6145,-37.6368,26.6,36,75,21.85,light snow
91,Fort Nelson,CA,58.8053,-122.7002,5.0,85,40,4.61,scattered clouds
92,Ulladulla,AU,-35.35,150.4667,66.2,55,75,11.5,broken clouds
93,Bereda,ES,43.2686,-7.5406,41.0,100,100,0.67,overcast clouds
94,Nishihara,JP,26.1842,127.7558,68.0,48,75,16.11,broken clouds
95,Ancud,CL,-41.8697,-73.8203,52.0,93,0,2.55,clear sky
96,Lasa,IT,46.6166,10.7002,32.0,74,0,5.75,clear sky
97,Vandra,EE,58.6481,25.0361,34.0,85,0,1.01,clear sky
98,Victoria,HK,22.2855,114.1577,68.0,79,70,3.0,broken clouds
99,Oktyabrskiy,RU,54.4815,53.471,26.69,95,97,7.4,overcast clouds
100,Bathsheba,BB,13.2167,-59.5167,77.0,65,40,18.41,scattered clouds
101,Lolodorf,CM,3.2333,10.7333,74.12,91,98,0.34,overcast clouds
102,Port Hardy,CA,50.6996,-127.4199,41.0,93,90,8.05,moderate rain
103,Khatanga,RU,71.9667,102.5,-31.49,82,0,5.59,clear sky
104,Barrow,US,71.2906,-156.7887,-16.6,69,1,11.5,clear sky
105,Torbay,CA,47.6666,-52.7314,19.99,79,40,13.8,scattered clouds
106,Tiksi,RU,71.6872,128.8694,-27.15,86,100,4.29,overcast clouds
107,Kavaratti,IN,10.5669,72.642,83.05,68,0,6.67,clear sky
108,Esperance,AU,-33.8667,121.9,86.0,37,40,14.97,scattered clouds
109,Roswell,US,34.0232,-84.3616,39.99,93,90,5.75,mist
110,Gold Coast,AU,-28.0,153.4333,77.0,69,90,6.91,overcast clouds
111,Springbok,ZA,-29.6643,17.8865,72.48,38,0,2.93,clear sky
112,Camopi,GF,3.1655,-52.3158,70.93,99,100,1.16,overcast clouds
113,Castro,BR,-24.7911,-50.0119,61.93,90,100,3.02,overcast clouds
114,Upernavik,GL,72.7868,-56.1549,23.86,81,100,10.25,overcast clouds
115,Port Augusta,AU,-32.5,137.7667,78.8,27,0,23.02,clear sky
116,Camocim,BR,-2.9022,-40.8411,75.33,90,100,8.93,overcast clouds
117,Buala,SB,-8.145,159.5921,80.67,83,100,6.82,light rain
118,Nanortalik,GL,60.1432,-45.2371,28.6,91,44,12.55,scattered clouds
119,Jatibonico,CU,21.9419,-79.17,67.8,91,0,5.17,clear sky
120,Faya,SA,18.3851,42.4509,69.8,32,0,14.97,clear sky
121,Qaanaaq,GL,77.484,-69.3632,15.08,81,100,13.73,overcast clouds
122,Rocha,UY,-34.4833,-54.3333,68.86,96,7,5.84,clear sky
123,Beira,MZ,-19.8436,34.8389,78.8,83,75,12.66,broken clouds
124,Hovd,MN,48.0056,91.6419,39.96,49,100,18.68,overcast clouds
125,Bambous Virieux,MU,-20.3428,57.7575,86.0,62,40,12.66,scattered clouds
126,Altay,CN,47.8667,88.1167,26.53,92,100,3.24,overcast clouds
127,Deputatskiy,RU,69.3,139.9,-32.85,86,100,1.77,overcast clouds
128,Coquimbo,CL,-29.9533,-71.3436,60.44,91,10,2.3,clear sky
129,Bud,US,39.447,-86.1758,30.99,69,1,4.61,clear sky
130,Arman,RU,59.7,150.1667,-1.62,90,95,5.32,overcast clouds
131,Sibut,CF,5.718,19.0739,84.06,21,99,3.29,overcast clouds
132,Te Anau,NZ,-45.4167,167.7167,54.27,86,100,5.61,overcast clouds
133,Fort Saint James,CA,54.4333,-124.25,30.29,93,100,7.54,overcast clouds
134,Saint-Philippe,RE,-21.3585,55.7679,87.8,62,0,18.41,clear sky
