City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carnarvon,AU,2021-02-24 16:24:47,-24.8667,113.6333,86.0,48,0,18.41
1,Hobart,AU,2021-02-24 16:24:47,-42.8794,147.3294,57.2,62,100,10.36
2,Olinda,BR,2021-02-24 16:24:47,-8.0089,-34.8553,84.2,65,40,11.5
3,Georgetown,MY,2021-02-24 16:23:49,5.4112,100.3354,84.2,70,20,3.44
4,Mahebourg,MU,2021-02-24 16:24:08,-20.4081,57.7,78.8,73,75,6.91
5,Ushuaia,AR,2021-02-24 16:19:49,-54.8,-68.3,46.4,61,75,40.29
6,Bredasdorp,ZA,2021-02-24 16:24:47,-34.5322,20.0403,75.2,50,40,10.36
7,Sibu,MY,2021-02-24 16:20:18,2.3,111.8167,75.2,94,20,0.98
8,Bluff,NZ,2021-02-24 16:24:48,-46.6,168.3333,51.01,86,78,3.0
9,Todos Santos,MX,2021-02-24 16:24:48,23.45,-110.2167,70.0,63,85,1.99
10,East London,ZA,2021-02-24 16:23:35,-33.0153,27.9116,73.4,64,0,8.05
11,Batsfjord,NO,2021-02-24 16:24:48,70.6345,29.7185,21.2,85,40,40.29
12,Kimberley,ZA,2021-02-24 16:24:48,-28.7323,24.7623,80.6,54,40,3.44
13,Albany,US,2021-02-24 16:20:12,42.6001,-73.9662,44.6,60,75,3.44
14,Atuona,PF,2021-02-24 16:24:48,-9.8,-139.0333,78.71,82,62,14.09
15,Katherine,AU,2021-02-24 16:24:48,-14.4667,132.2667,71.6,88,75,12.66
16,Tsabong,BW,2021-02-24 16:24:49,-26.0217,22.401,77.22,63,49,8.88
17,Yellowknife,CA,2021-02-24 16:24:49,62.456,-114.3525,-16.01,69,40,11.5
18,Cadillac,US,2021-02-24 16:22:03,44.2519,-85.4012,37.4,87,90,11.5
19,Suez,EG,2021-02-24 16:24:49,29.9737,32.5263,63.75,40,0,13.73
20,Tuatapere,NZ,2021-02-24 16:24:49,-46.1333,167.6833,51.01,86,97,3.0
21,Sabang,ID,2021-02-24 16:20:20,5.8933,95.3214,81.48,70,90,3.33
22,Nome,US,2021-02-24 16:21:54,64.5011,-165.4064,15.8,57,90,10.36
23,Butaritari,KI,2021-02-24 16:24:49,3.0707,172.7902,81.21,79,51,17.92
